,Photo ID,P3 - PHYSICAL SETUP - 1,P7 - PHYSICAL SETUP - 1,P7 - PHYSICAL SETUP - 2,P11 - PHYSICAL SETUP 1,P9-PHYSICAL SETUP 2,P14 -PHYSICAL SETUP 2,P-19 ACTIVITY 1,P-21 PHYSICAL SETUP 1,P-29 PHYSICAL SETUP 2,P-33 PHYSICAL SETUP 1,P-36 PHYSICAL SETUP 2,P-40 PHYSICAL SETUP 1,P-43 PHYSICAL SETUP 1,P-46 PHYSICAL SETUP 1,P-47 PHYSICAL SETUP 2,P-49 PHYSICAL SETUP 1,P-53 PHYSICAL SETUP 1,P-54 PHYSICAL SETUP 2,P-55 PHYSICAL SETUP 2,P-58 ACTIVITY 1,P3 - PHYSICAL SETUP - 1,P7 - PHYSICAL SETUP - 1,P7 - PHYSICAL SETUP - 2,P11 - PHYSICAL SETUP 1,P58 - PHYSICAL SETUP 1,P59 - PHYSICAL SETUP 1,P60 - PHYSICAL SETUP 3,P66 - ACTIVITY 3,P73 - PHYSICAL SETUP 1,P79 - ACTIVITY 1,P81 - ACTIVITY 1,P81 - PHYSICAL SETUP 3,P85 - PHYSICAL SETUP 1,P86 - ACTIVITY 2,P87 - PHYSICAL SETUP 2,P92 - ACTIVITY 1,P95 - ACTIVITY 2,P96 - PHYSICAL SETUP 1,P100 - PHYSICAL SETUP 1,P9 - ACTIVITY 2,P9 - PHYSICAL SETUP - 1,P10 - PHYSICAL SETUP 1,P12 - PHYSICAL SETUP 1,P14 - ACTIVITY 1,P14 - APPRECIATE,P14 - PHYSICAL SETUP 3,P17 - PHYSICAL SETUP 1,P17 - PHYSICAL SETUP 2,P19 - PHYSICAL SETUP 1,P21 - PHYSICAL SETUP 3,P23 - ACTIVITY 1,P29 - PHYSICAL SETUP 1,P29 - PHYSICAL SETUP 3,P30 - PHYSICAL SETUP 1,P32 - PHYSICAL SETUP 1,P34 - PHYSICAL SETUP 1,P35 - PHYSICAL SETUP 1,P36 - PHYSICAL SETUP 1,P37 - ACTIVITY 1,P37 - PHYSICAL SETUP 1,P41 - PHYSICAL SETUP 1,P41 - PHYSICAL SETUP 2,P44 - PHYSICAL SETUP 1,P45 - PHYSICAL SETUP 1,P46 - PHYSICAL SETUP 2,P47 - PHYSICAL SETUP 1,P48 - ACTIVITY 2,P50 - PHYSICAL SETUP 1,P51 - PHYSICAL SETUP 1,P53 - PHYSICAL SETUP 2,P54 - ACTIVITY 1,P54 - PHYSICAL SETUP 1,P55 - ACTIVITY 1,P57 - PHYSICAL SETUP 1,P58 - ACTIVITY 3,P58 - APPRECIATE,P59 - ACTIVITY 1,P59 - PHYSICAL SETUP 2,P60 - PHYSICAL SETUP 1,P61 - PHYSICAL SETUP 1,P61 - PHYSICAL SETUP 2,P62 - PHYSICAL SETUP 1,P64 - PHYSICAL SETUP 1,P66 - ACTIVITY 1,P66 - ACTIVITY 2,P66 - PHYSICAL SETUP 1,P67 - PHYSICAL SETUP 1,P68 - PHYSICAL SETUP 1,P70 - ACTIVITY 1,P71 - PHYSICAL SETUP 1,P74 - PHYSICAL SETUP 3,P75 - ACTIVITY 1,P77 - PHYSICAL SETUP 1,P79 - PHYSICAL SETUP 1,P79 - PHYSICAL SETUP 2,P81 - ACTIVITY 2,P81 - PHYSICAL SETUP 2,P83 - PHYSICAL SETUP 1,P84 - PHYSICAL SETUP 1,P85 - PHYSICAL SETUP 2,P86 - ACTIVITY 1,P87 - PHYSICAL SETUP 1,P88 - ACTIVITY 2,P88 - PHYSICAL SETUP 1,P89 - PHYSICAL SETUP 1,P91 - ACTIVITY 2,P92 - PHYSICAL SETUP 1,P94 - PHYSICAL SETUP 1,P95 - ACTIVITY 1,P98 - PHYSICAL SETUP 1,P99 - PHYSICAL SETUP 1,P99 - PHYSICAL SETUP 2
,"ENVIRONMENT_Place_Outdoor
(0 or 1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,"ENVIRONMENT_Place_Other
(0 or 1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,      Lighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ENVIRONMENT_Lighting_Additional Lighting Support
(0 or 1)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0
,      Physical Artifacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ENVIRONMENT_Physical Artifacts_Sticky Note
(0 or 1)",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
,"ENVIRONMENT_Physical Artifacts_Notetaking Paper
(0 or 1)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,,0,0,1,0
,"ENVIRONMENT_Physical Artifacts_Reading Paper
(0 or 1)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,,0,0,0,0
,"ENVIRONMENT_Physical Artifacts_Whiteboard
(0 or 1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0
DEVICE & MODALITY,      Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"DEVICE & MODALITY_Device_Number of Smart Phones
(#)",0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,,1,0,1,0
,"DEVICE & MODALITY_Device_Number Tablets
(#)",0,1,0,0,1,0,0,0,1,1,1,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0
,"DEVICE & MODALITY_Device_Number of Laptop
(#)",2,1,1,1,0,0,0,1,3,0,1,0,1,0,0,1,0,1,1,0,2,1,1,1,0,0,1,2,1,1,0,1,0,0,0,2,1,2,0,0,2,0,1,0,0,1,1,1,1,1,1,3,3,2,1,2,1,0,1,1,1,0,1,0,0,1,2,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,2,1,2,0,1,1,0,1,1,2,0,1,0,1,1,0,1,1,1,1,1,0,1,2,1,1,0,1,1
,"DEVICE & MODALITY_Device_Number of Desktops/Monitors
(#)",0,2,0,2,1,1,2,0,1,2,1,2,2,3,0,2,0,3,2,2,1,2,0,2,2,2,3,1,0,1,2,0,2,1,1,3,1,0,2,2,3,3,2,1,1,1,0,0,2,1,3,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,0,0,1,2,3,0,2,2,0,0,2,1,3,3,3,2,3,2,2,2,2,1,2,1,2,1,1,2,1,2,1,0,2,2,1,1,2,1,1,3,3,1,1,1,2,0
,"DEVICE & MODALITY_Device_Number of TVs
(#)",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1
,      Input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"DEVICE & MODALITY_Input_Number Mouses/Trackpads/Trackballs
(#)",1,1,0,1,1,1,1,1,1,1,1,1,2,1,0,2,0,1,1,1,1,1,0,1,2,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,2,1,1,0,0,1,0,0,2,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,1,0,1,1,1,0,1,2,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,2,1,0,2,0,1,1,2,2,1,1,2,1,1,0,0,0
,"DEVICE & MODALITY_Input_Number Keyboards/Laptop Keyboards
(#)",2,2,1,2,1,1,1,2,2,2,2,1,2,2,0,1,0,2,2,1,2,2,0,2,1,0,1,1,1,1,1,1,0,1,1,4,1,1,1,1,4,1,2,1,0,1,1,0,2,1,2,2,3,3,1,3,3,1,1,1,1,1,1,1,1,2,2,2,1,2,2,0,2,2,1,2,1,1,1,0,1,0,2,1,1,2,1,3,1,1,1,1,3,0,2,2,1,1,1,2,2,2,2,2,1,1,4,1,1,1,2,0
,"DEVICE & MODALITY_Input_Number of Webcams
(#)",0,1,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
,"DEVICE & MODALITY_Input_Number of Digital Pens
(#)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,"DEVICE & MODALITY_Input_Number of Microphones
(#)",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0
,"DEVICE & MODALITY_Input_Number of Remote Controls/Game Controls
(#)",4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,      Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"DEVICE & MODALITY_Output_Number of Headsets
(#)",0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,1,1,0
,"DEVICE & MODALITY_Output_Number of Speakers
(#)",0,1,0,0,0,0,1,2,1,0,0,0,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0
,      Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"DEVICE & MODALITY_Distance_At Hands' Reach/In Front
(0, 1, or 2)",2,1,1,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2
,"DEVICE & MODALITY_Distance_In Arms' Reach (periphery)
(0, 1, or 2)",0,2,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0
,"DEVICE & MODALITY_Distance_Far/Unreachable
(0, 1, or 2)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,      Fixation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"DEVICE & MODALITY_Fixation_Fixed
(0, 1, or 2)",1,2,1,2,1,1,1,2,1,2,1,2,2,2,0,2,2,2,2,2,1,2,1,2,2,2,2,2,0,1,2,0,2,1,1,3,1,0,1,2,3,3,2,1,1,1,0,0,2,1,3,1,1,1,2,1,2,2,2,2,2,2,1,2,1,2,0,0,1,2,3,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,2,2
,"DEVICE & MODALITY_Fixation_Semi-Fixed
(0, 1, or 2)",2,1,1,1,0,1,0,1,1,2,1,2,2,2,1,1,2,1,2,0,2,1,1,1,0,0,1,2,1,2,1,1,0,1,1,2,1,2,0,0,2,0,1,1,1,1,1,1,1,1,1,3,3,2,1,3,2,0,1,1,1,0,1,0,1,1,2,1,0,1,2,1,1,1,1,0,0,0,1,0,0,0,1,2,2,2,1,2,2,0,1,1,2,0,0,1,1,1,0,1,1,1,1,1,0,1,2,1,1,0,1,1
,"DEVICE & MODALITY_Fixation_Mobile
(0, 1, or 2)",0,0,1,0,0,2,0,0,1,0,1,0,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,3,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,,1,0,1,0
